URL,Label
http://login-update-account-verify@dangerous-site.com,phishing
https://www.google.com,legitimate
http://paypal-login.com-fake.net,phishing
https://www.facebook.com,legitimate
http://verify-your-bank-info-now.com,phishing
http://secure-update-login-account-info.com,phishing
https://www.amazon.in,legitimate
http://click-here-to-win-iphone.com,phishing
https://www.linkedin.com,legitimate
http://bank-security-check-now@fraudsite.com,phishing
https://www.youtube.com,legitimate
http://free-gift-card-claim-now.com,phishing
https://www.wikipedia.org,legitimate
http://secure-facebook-login-update@malicious-site.net,phishing
https://www.instagram.com,legitimate
http://confirm-your-payment-now@fakebank.com,phishing
https://www.twitter.com,legitimate
http://reset-your-password-immediately.com,phishing
https://www.microsoft.com,legitimate
http://update-your-apple-id@fakeapple.com,phishing
